gene,control_1,control_2,control_3,cold_1,cold_2,cold_3
Solyc00g042120,0,0,0,0,0,0
Solyc00g042130,0,0,0,0,0,0
Solyc00g042140,0,0,0,0,0,0
Solyc00g042640,0,0,0,0,0,0
Solyc00g042840,1,1,0,5,9,4
Solyc00g042850,0,0,0,2,2,1
Solyc00g044350,0,0,0,0,0,0
Solyc00g044550,0,0,0,0,0,1
Solyc00g044750,13,27,30,24,33,63
Solyc00g045570,33,21,25,77,105,94
Solyc00g046570,0,1,1,0,2,0
Solyc00g046580,0,0,0,0,0,0
Solyc00g046980,0,0,0,0,0,0
Solyc00g047180,0,0,0,0,1,0
Solyc00g047190,0,0,0,0,0,0
Solyc00g047200,2,5,3,6,6,4
Solyc00g047700,220,294,220,447,478,614
Solyc00g047810,0,0,0,0,0,0
Solyc00g048410,0,0,0,0,0,0
Solyc00g048510,24,11,6,3,8,12
Solyc00g049210,8,4,6,5,6,7
Solyc00g049220,1,0,1,0,0,0
Solyc00g049520,38,56,44,53,32,55
Solyc00g049620,0,0,0,0,0,0
Solyc00g049920,0,0,0,0,0,0
Solyc00g050020,0,0,0,0,0,0
Solyc00g050030,0,0,0,0,0,0
Solyc00g050130,16,34,22,7,26,21
Solyc00g050430,5,15,3,2,9,4
Solyc00g052430,8,6,9,11,11,6
Solyc00g052530,0,1,1,5,5,2
Solyc00g052540,0,0,1,1,0,0
Solyc00g052940,0,0,0,0,0,0
Solyc00g053440,345,307,329,1686,1678,1878
Solyc00g053740,0,0,0,0,0,0
Solyc00g055940,0,0,0,0,0,0
Solyc00g055950,0,0,0,0,0,0
Solyc00g055960,0,0,0,0,0,0
Solyc00g055970,0,0,0,0,0,0
Solyc00g055980,0,0,0,0,0,0
Solyc00g056180,0,0,0,0,0,0
Solyc00g056680,16,14,12,11,13,13
Solyc00g057280,0,0,0,0,0,0
Solyc00g057880,10,34,12,13,23,23
Solyc00g058280,0,0,0,0,1,1
Solyc00g058480,0,0,0,0,0,0
Solyc00g058490,2,1,0,0,2,3
Solyc00g058890,3,1,6,2,2,0
Solyc00g058900,1,0,2,0,0,0
Solyc00g059100,22,24,23,23,31,23
Solyc00g059500,25,27,28,28,42,33
Solyc00g060700,0,0,0,0,0,0
Solyc00g060710,0,0,0,0,0,0
Solyc00g060810,2911,4098,3772,1535,2362,1348
Solyc00g062710,0,0,0,0,0,0
Solyc00g063110,0,0,0,0,0,0
Solyc00g063510,0,0,0,0,0,0
Solyc00g065510,0,0,0,0,0,0
Solyc00g065610,0,0,0,0,0,0
Solyc00g065620,0,0,0,0,0,0
Solyc00g065630,0,0,0,0,0,0
Solyc00g065930,0,0,0,0,0,0
Solyc00g065940,0,0,0,0,0,0
Solyc00g066140,0,0,0,0,0,0
Solyc00g066150,0,0,0,0,0,0
Solyc00g066350,0,0,1,0,0,0
Solyc00g066360,0,0,0,0,0,0
Solyc00g066370,0,0,0,0,0,0
Solyc00g067470,2,1,2,2,5,3
Solyc00g068970,0,0,0,0,0,0
Solyc00g068980,0,0,0,0,1,0
Solyc00g069680,0,0,0,0,0,0
Solyc00g069880,0,4,2,7,5,4
Solyc00g070680,0,0,0,0,0,0
Solyc00g071180,1,0,0,1,0,0
Solyc00g071580,0,0,0,0,0,0
Solyc00g071590,0,0,0,0,0,0
Solyc00g071600,0,0,0,0,0,0
Solyc00g072100,25,37,16,10,23,23
Solyc00g072400,0,0,0,0,0,0
Solyc00g072800,2,2,3,4,14,7
Solyc00g073200,0,0,0,0,0,0
Solyc00g073900,0,0,0,0,0,0
Solyc00g073910,0,0,0,0,0,0
Solyc00g074210,4,4,4,2,3,3
Solyc00g074810,0,0,0,0,0,0
Solyc00g074820,0,0,0,0,0,0
Solyc00g074830,1,0,0,0,0,0
Solyc00g075030,0,2,0,0,0,0
Solyc00g075040,0,0,0,0,0,0
Solyc00g075440,0,0,2,0,0,0
Solyc00g075450,1,13,0,3,3,1
Solyc00g076250,0,0,0,0,0,0
Solyc00g079050,0,0,0,0,0,0
Solyc00g080550,0,0,0,0,0,0
Solyc00g080750,5,2,5,14,2,5
Solyc00g082150,474,618,442,291,443,307
Solyc00g082550,0,0,0,0,0,0
Solyc00g084650,0,0,0,0,0,0
Solyc00g084750,4,7,6,4,8,8
Solyc00g084760,2,7,6,4,10,3
Solyc00g084770,0,0,0,0,1,2
Solyc00g084870,7,3,3,0,1,3
Solyc00g085070,362,476,349,843,986,933
Solyc00g085370,0,0,0,0,0,1
Solyc00g085770,0,0,0,0,0,0
Solyc00g085780,0,0,0,0,0,0
Solyc00g088080,0,0,0,0,0,0
Solyc00g088090,0,0,0,0,0,0
Solyc00g088190,0,0,0,0,0,0
Solyc00g088200,0,0,0,0,0,0
Solyc00g088210,0,0,0,0,0,0
Solyc00g090110,0,0,0,0,0,0
Solyc00g090120,0,0,0,0,0,0
Solyc00g090130,0,0,0,0,0,0
Solyc00g090430,0,0,0,0,0,0
Solyc00g090630,0,0,0,0,0,0
Solyc00g090640,0,0,0,0,0,0
Solyc00g090650,0,0,0,0,0,0
Solyc00g090660,0,0,0,0,0,0
Solyc00g090860,0,0,0,0,0,0
Solyc00g090870,52,60,40,95,104,120
Solyc00g091170,6,20,3,4,12,6
Solyc00g092870,0,0,0,0,0,0
Solyc00g092880,0,0,0,0,0,0
Solyc00g092890,0,0,0,0,0,0
Solyc00g092900,0,0,0,2,3,1
Solyc00g093000,5,8,7,12,12,5
Solyc00g093100,0,0,0,0,0,0
Solyc00g093300,0,0,0,0,0,0
Solyc00g093310,0,4,1,1,1,6
Solyc00g094010,0,0,0,0,0,0
Solyc00g094020,0,0,0,0,0,0
